lap,lap_time,avg_speed_kmh,max_speed_kmh,sector1_time,sector2_time,sector3_time
1,88.27,146.8,185.3,26.481,35.308,26.481
2,83.13,155.9,215.9,24.939,33.252,24.939
3,86.815,149.3,200.6,26.044,34.726,26.045
4,84.901,152.6,209.8,25.47,33.96,25.471
5,84.275,153.8,212.8,25.283,33.71,25.282
6,88.76,146.0,204.3,26.628,35.504,26.628
7,86.769,149.4,207.5,26.031,34.708,26.03
8,86.895,149.1,185.3,26.068,34.758,26.069
9,91.821,141.1,183.9,27.546,36.728,27.547
10,84.046,154.2,210.4,25.214,33.618,25.214
11,86.206,150.3,208.7,25.862,34.482,25.862
12,87.257,148.5,207.5,26.177,34.903,26.177
