lap,lap_time,avg_speed_kmh,max_speed_kmh,sector1_time,sector2_time,sector3_time
1,79.051,154.8,180.3,24.506,30.039,24.506
2,78.395,156.1,185.6,24.302,29.79,24.303
3,79.226,154.5,193.0,24.56,30.106,24.56
4,79.506,154.0,180.7,24.647,30.212,24.647
5,78.659,155.6,181.2,24.384,29.89,24.385
6,78.294,156.3,191.4,24.271,29.752,24.271
7,80.448,152.1,181.1,24.939,30.57,24.939
8,79.07,154.8,190.7,24.512,30.047,24.511
9,78.297,156.3,193.1,24.272,29.753,24.272
10,79.357,154.2,179.3,24.601,30.156,24.6
11,79.35,154.3,193.3,24.598,30.153,24.599
12,78.512,155.9,184.0,24.339,29.835,24.338
13,79.623,153.7,185.4,24.683,30.257,24.683
14,80.567,151.9,178.8,24.976,30.615,24.976
15,79.425,154.1,191.2,24.622,30.181,24.622
16,79.353,154.2,193.8,24.599,30.154,24.6
17,78.865,155.2,199.7,24.448,29.969,24.448
18,78.581,155.8,191.8,24.36,29.861,24.36
19,79.393,154.2,191.6,24.612,30.169,24.612
20,79.451,154.1,190.6,24.63,30.191,24.63
