lap,lap_time,avg_speed_kmh,max_speed_kmh,sector1_time,sector2_time,sector3_time
1,83.986,154.3,173.2,25.196,33.594,25.196
2,84.127,154.1,172.4,25.238,33.651,25.238
3,84.002,154.3,173.4,25.201,33.601,25.2
4,83.905,154.5,173.1,25.171,33.562,25.172
5,84.039,154.2,174.8,25.212,33.616,25.211
6,83.878,154.5,171.6,25.163,33.551,25.164
7,83.877,154.5,175.2,25.163,33.551,25.163
8,84.058,154.2,169.5,25.217,33.623,25.218
9,84.145,154.0,175.8,25.243,33.658,25.244
10,84.046,154.2,173.5,25.214,33.618,25.214
11,83.897,154.5,169.6,25.169,33.559,25.169
12,84.009,154.3,169.7,25.203,33.604,25.202
